postal_code,address,lat,lon
2925-130,"Rua Cruz Tudo, 2º A",38.556591178792836,-9.016743686479318
2925-177,"Rua José Malhoa, Nº9",38.53837897132371,-9.017118119093539
2925-689,"Rua Tomé de Sousa, lote 318",38.532641412667274,-9.015172616516216
2925-443,"Rua da Paz, Nº6",38.53136491146994,-8.988625415316832
2925-266,"Rua Sebastião José da Costa, lote 12",38.53348545870074,-9.028341102871483
2925-530,"Rua Helena da Conceição dos Santos e Silva, Nº42",38.51622360204614,-9.01495420946571
2925-810,"Beco do Roseiral, Nº2",38.55398327237149,-9.015001054198299
2925-396,"Rua Oliveira Martins, nº 17 - 2ºDto",38.51921523367649,-9.020117802506846
2925-578,"Rua 9 Abril, 28 - 2ºesq.",38.518593938713146,-9.021168182657691
2925-036,"Rua Carlos Pinhão, Nº60",38.537107554137094,-8.99355779248374
2925-335,"Rua Dona Maria II, Lote 28",38.51184252022098,-9.029527005134764
2925-236,"Rua Santos Malta, Nº32",38.53316327824703,-9.027783101386339
2925-036,"Rua Carlos Pinhão, Nº 60",38.537107554137094,-8.99355779248374
2925-611,"Rua do Ervideiro, Nº8, lote VV",38.53194828136189,-8.991993976777147
2925-026,"Rua Batalha Reis, 2 - 2ºDto.",38.517445501387726,-9.01913183117874
2925-236,"Rua Santos Malta, Nº32",38.53316327824703,-9.027783101386339
2925-388,"Rua Adelino da Palma Cortes, Nº1 1º Drt.",38.517852287760405,-9.01954004258138
2925-718,"Rua dos Melros, nº21",38.53364750280457,-9.009766172384385
2925-392,Rua Henrique de Barros Nº30,38.519215774798404,-9.020895468191801
2925-784,"Rua Margarida Caineta, Nº7",38.53460154027873,-9.029948441959045
2900-192,"Rua Engenheiro Henri Perron, Nº16 R/C A",38.53909304897063,-8.897617860528465
2925-527,"Rua Dr. Francisco Gonçalves de Oliveira, Nº40",38.520478977284185,-9.01824404428451
2900-075,"Rua Cidade da Beira, Nº12 - 2ºesq.",38.53852113623596,-8.891962823227155
2925-266,"Rua Sebastião José da Costa, Nº5 - 2ºEsq.",38.53348545870074,-9.028341102871483
2925-395,"Rua Lourenço Dinis, Nº18",38.51874499782032,-9.019421998658801
2925-065,"Rua Campo da Bola, Nº12, Brejoeira",38.545537795561984,-9.025870927817868
2925-632,"Rua Natália Correia, nº24",38.5331851229794,-9.018638681609152
2925-396,"Rua Dr. Oliveira Martins, Nº12",38.51921523367649,-9.020117802506846
2925-150,"Rua Família Marques, nº 96",38.54231696352194,-9.030404130792743
2925-221,Rua das Estrelas Lote 9,38.54110329674647,-9.013471104994114
2925-809,Rua da Padaria Lote 6 D,38.547033053401314,-9.013156406724079
2925-397,"Rua das Laranjeiras, lote 14",38.553944710682806,-9.016233718861153
2925-145,"Rua Euroceramica, 55-59",38.52832787103048,-9.033238503533948
2925-236,Rua Santos Malta 36,38.53316327824703,-9.027783101386339
2925-348,"Rua Poeta Bocage nº8, 3ºesq.",38.54703522307329,-9.032263667665228
2925-468,"Rua 25 de Abril, nº37 E",38.53140437291324,-8.98969673119909
2900-007,"Rua José Gregório, Nº 1 R/C A",38.54028474725389,-8.8909818453016
2925-344,"Rua das Flores, Nº4",38.51258926755284,-9.025463236821038
2925-266,"Rua Sebastião Jose Da Costa, 16 2ºesq.",38.53348545870074,-9.028341102871483
2925-139,"Rua Estevam Esteves, Nº4",38.53427303548789,-9.026620830262418
2925-689,"Rua tome de Sousa, Lote 329",38.532641412667274,-9.015172616516216
2925-653,"Rua Joaquim Gomes de Oliveira, Nº6",38.53455464113713,-9.02686362851433
2925-527,"R. Dr. Francisco Gonçalves Oliveira Nº40,Vila Nogueira",38.520478977284185,-9.01824404428451
2925-588,"Rua Juventude Azeitonense, Nº138 - 1º esq.",38.529476419173164,-9.022803484710627
2925-445,"Rua do Poço, nº58",38.537142911852136,-8.994241041881093
2925-095,"Rua Aquilino Ribeiro, Nº6",38.542840639413626,-9.019519809690063
2925-528,"Rua Francisco Sá de Miranda, Nº20",38.53989623059119,-9.02019971311996
2925-071,"Rua Luís Pacheco, nº5 e 5-A",38.54343822276078,-9.019203110429283
2925-035,"Rua Afonso Praça, LT.46",38.536667237415394,-8.993322346423692
2900-106,"Rua Manuel Livério nº18,",38.525602702085216,-8.88786432063
2925-469,Rua 25 De Abril Nº 59 - D 1 Dto.,38.530286762578555,-8.990853216961908
2925-306,"Rua das Videiras, Lote 16 B/C",38.55608144506388,-9.019888893159939
2925-214,"Rua do Pombal, nº2 PT1, Urbanização Olhar a Serra",38.540361562874025,-9.005697083290809
2925-809,"Rua da Padaria, Lt. 6D",38.547033053401314,-9.013156406724079
2925-442,R. Alexandre Cabral Viv. Nosso Cantinho,38.53317840050726,-8.992339287147159
2925-784,"R. Margarida Caineta, Nº49",38.53460154027873,-9.029948441959045
2925-610,"Rua Das Tortinhas Nº45,  Brejos De Azeitão",38.53375624604516,-9.013183400668659
2925-805,"Rua da Escola de Brejos de Clérigos, 182",38.54518117072465,-9.016352075567045
2925-665,"Rua Músicos do Simba, 1",38.53791517569787,-9.01416436521023